College,Building,Room,Room Type,Sq. Ft.
Upperclass,1901,212,DOUBLE,378
Upperclass,1901,202,DOUBLE,375
Upperclass,1901,441,DOUBLE,372
Upperclass,1901,117,DOUBLE,370
Upperclass,1901,421,DOUBLE,351
Upperclass,1901,215,DOUBLE,349
Upperclass,1901,203,DOUBLE,345
Upperclass,1901,119,DOUBLE,337
Upperclass,1901,124,DOUBLE,336
Upperclass,1901,102,DOUBLE,335
Upperclass,1901,221,DOUBLE,331
Upperclass,1901,431,DOUBLE,330
Upperclass,1901,322,DOUBLE,296
Upperclass,1901,324,DOUBLE,246
Upperclass,1901,141,QUAD,799
Upperclass,1901,331,QUAD,686
Upperclass,1901,301,QUAD,556
Upperclass,1901,122,QUAD,503
Upperclass,1901,123,QUAD,502
Upperclass,1901,125,QUAD,498
Upperclass,1901,131,QUAD,482
Upperclass,1901,222A,SINGLE,92
Upperclass,1901,222,SINGLE,87
Upperclass,1901,405,SINGLE,196
Upperclass,1901,404,SINGLE,190
Upperclass,1901,402,SINGLE,186
Upperclass,1901,116,SINGLE,183
Upperclass,1901,233,SINGLE,174
Upperclass,1901,201,SINGLE,173
Upperclass,1901,335,SINGLE,158
Upperclass,1901,234,SINGLE,156
Upperclass,1901,103,SINGLE,155
Upperclass,1901,401,SINGLE,154
Upperclass,1901,214,SINGLE,153
Upperclass,1901,213,SINGLE,144
Upperclass,1901,105,SINGLE,142
Upperclass,1901,334,SINGLE,142
Upperclass,1901,232,SINGLE,139
Upperclass,1901,223A,SINGLE,129
Upperclass,1901,321,SINGLE,128
Upperclass,1901,111,SINGLE,122
Upperclass,1901,121,SINGLE,122
Upperclass,1901,332,SINGLE,119
Upperclass,1901,413,TRIPLE,459
Upperclass,1901,101,TRIPLE,444
Upperclass,1901,118,TRIPLE,427
Upperclass,1901,133,TRIPLE,415
Upperclass,1901,403,TRIPLE,414
Upperclass,1901,104,TRIPLE,404
Upperclass,1903,422,DOUBLE,495
Upperclass,1903,141,DOUBLE,378
Upperclass,1903,515,DOUBLE,369
Upperclass,1903,244,DOUBLE,342
Upperclass,1903,432,DOUBLE,332
Upperclass,1903,132,DOUBLE,318
Upperclass,1903,525,DOUBLE,314
Upperclass,1903,504,DOUBLE,309
Upperclass,1903,502,DOUBLE,292
Upperclass,1903,213,DOUBLE,252
Upperclass,1903,501,QUAD,538
Upperclass,1903,236,QUAD,521
Upperclass,1903,123,QUAD,503
Upperclass,1903,402,SINGLE,217
Upperclass,1903,332,SINGLE,185
Upperclass,1903,433,SINGLE,179
Upperclass,1903,224,SINGLE,175
Upperclass,1903,431,SINGLE,171
Upperclass,1903,411,SINGLE,166
Upperclass,1903,142,SINGLE,165
Upperclass,1903,514,SINGLE,163
Upperclass,1903,503,SINGLE,158
Upperclass,1903,242,SINGLE,157
Upperclass,1903,235,SINGLE,149
Upperclass,1903,233,SINGLE,140
Upperclass,1903,333,SINGLE,138
Upperclass,1903,334,SINGLE,124
Upperclass,1903,534,SINGLE,119
Upperclass,1903,533,SINGLE,112
Upperclass,1903,401,TRIPLE,593
Upperclass,1903,413,TRIPLE,557
Upperclass,1903,535,TRIPLE,486
Upperclass,1903,226,TRIPLE,433
Upperclass,1903,512,TRIPLE,424
Upperclass,1903,311,TRIPLE,396
Upperclass,1903,321,TRIPLE,393
Upperclass,1903,324,TRIPLE,389
Upperclass,BROWN,127,QUAD,536
Upperclass,BROWN,427,QUAD,530
Upperclass,BROWN,418,QUAD,523
